                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95047,                 2.6548,                 1.3137,                0.00867,                0.58529,                 0.2707,                 0.1825,                0.90765,                 3.1086,                 1.2531,             0.00025005,             0.00025005,             0.00025005
                      1,                 0.9613,                  1.511,                 1.2785,                 0.9354,                0.27663,                0.32588,                0.23431,                0.98227,                 2.6717,                  1.394,             0.00051165,             0.00051165,             0.00051165
                      2,                0.96993,                 1.3862,                 1.2924,                0.84172,                0.25373,                0.58678,                  0.354,                 1.2416,                 2.6029,                 1.6146,             0.00076798,             0.00076798,             0.00076798
                      3,                 1.0346,                 1.3509,                 1.3094,                0.78233,                0.27103,                0.39751,                0.21513,                 1.2804,                 2.7906,                 1.6956,               0.001019,               0.001019,               0.001019
                      4,                0.98411,                 1.2631,                 1.2808,                0.71464,                0.37226,                0.49557,                0.28497,                  1.359,                 2.5821,                 1.6886,              0.0012648,              0.0012648,              0.0012648
                      5,                 1.0492,                 1.3005,                 1.3245,                0.63402,                0.43136,                0.53115,                0.32667,                  1.327,                 2.3339,                 1.7894,              0.0015053,              0.0015053,              0.0015053
                      6,                 1.0361,                 1.2586,                 1.3225,                0.69501,                0.50935,                0.56587,                0.31034,                 1.5744,                 2.2883,                 2.1862,               0.001568,               0.001568,               0.001568
                      7,                 1.0421,                 1.2771,                 1.3503,                0.75085,                0.53354,                0.64438,                  0.377,                 1.4134,                 1.9906,                  1.952,               0.001568,               0.001568,               0.001568
                      8,                 1.0463,                 1.2189,                 1.3454,                0.72821,                0.57056,                0.67477,                0.42043,                 1.3117,                 1.9357,                 1.7288,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0201,                 1.2151,                 1.3321,                0.56488,                0.55143,                0.57192,                0.33123,                 1.5397,                 2.3281,                 1.9737,               0.001535,               0.001535,               0.001535
                     10,                 1.0148,                 1.1269,                  1.305,                0.62038,                0.65476,                 0.7006,                0.47001,                 1.2459,                 1.8312,                 1.6079,              0.0015185,              0.0015185,              0.0015185
                     11,                0.97472,                 1.0853,                   1.29,                0.70868,                0.66525,                0.69162,                0.43507,                 1.3052,                 1.7036,                 1.6372,               0.001502,               0.001502,               0.001502
                     12,                0.98053,                 1.0694,                 1.2907,                0.75978,                0.68719,                 0.7301,                0.49037,                 1.1906,                 1.4908,                  1.598,              0.0014855,              0.0014855,              0.0014855
                     13,                0.91304,                 1.0405,                 1.2413,                0.73898,                0.67946,                0.67199,                0.43724,                 1.2625,                 1.5878,                 1.5787,               0.001469,               0.001469,               0.001469
                     14,                0.91812,                 1.0032,                 1.2497,                0.74412,                0.74934,                0.77265,                0.51779,                 1.1646,                 1.5454,                 1.5357,              0.0014525,              0.0014525,              0.0014525
                     15,                0.92067,                0.97473,                 1.2691,                0.76125,                0.69313,                0.74247,                 0.4789,                 1.1481,                 1.3747,                 1.4772,               0.001436,               0.001436,               0.001436
